videosurf.com,305136561,305147438,305120025,305128993,305143880,305143432,305130645,305154499,305079148,305119505,305138313,305164596,305149014,305135653,79184,73896,305111728,305105140,305170890,305142477,305158731,305129038,305141189,
orbitz.com,1821106,497306,542221,501661,604821,587426,563593,1099282,492920,627014,774016,520345,956143,769942,482793,48049,529374,554523,580733,573274,1511828,492258,598795,
qunar.com,2826340,20812668,5200658,3948503,7009295,3017792,5675601,3060558,4733593,2846399,2784236,2827194,3009447,2849285,2862100,61980,2985393,4943570,3685184,5254082,7583737,3096748,3735459,
gd118114.cn,33225160,14175716,35960135,32616542,14225763,14302662,14634714,16449520,20695353,14420426,14518564,15635519,14093630,14506851,90282,54196,14357355,14404246,14349630,14592258,14469440,14683456,14454914,
beemp3.com,457137,338617,296332,338551,288881,331182,334587,324192,299351,335242,387887,317533,357283,325019,79235,72152,273605,290251,269988,289149,304101,313501,291098,
alexa.com,283544,435484,278732,235123,660134,402456,366430,298896,298584,1616222,821775,365786,263813,374505,55507,52841,241652,253889,241995,256054,324638,158644840,311791,
wupload.com,133013,95565,104026,114718,85296,96738,121101,380003,106270,108783,87005,107155,122093,151031,61015,40299,101820,71746,148864,104003,112943,95432,119721,
qvc.com,248958,274621,260955,263322,364800,260156,225963,281791,238922,264172,293875,263161,363656,264151,45013,32855,227402,246717,241005,225726,429463,270241,268259,
daily.co.jp,9836394,9337498,9929123,9322366,9622560,9701264,9593468,12217276,9358373,9273015,9085106,9980202,8668203,9213062,56544,65940,10056843,9071118,8841069,10701343,9396960,8773598,9221910,
17kuxun.com,570456,515174,557739,751001,588143,577205,601876,590551,601864,583161,546129,595441,524544,521917,578314,53193,752642,630224,530243,616644,542633,542007,578204,
tuenti.com,337131,342043,310685,345952,407923,314689,434845,362551,424509,468617,388215,375764,367024,335257,69217,47382,417676,343766,369557,444069,352755,315843,395992,
2ch.net,627279,583064,635088,613797,582062,710934,675053,590809,682705,635711,589929,637498,631101,626219,630355,36960,616019,611441,649635,623586,669553,705830,633332,
dianping.com,3785140,13808444,3825557,3665029,4083603,8394316,3808021,3587657,4339367,4314170,3855525,3978942,5539967,4492858,3639712,45449,3730922,4080682,3809617,3547015,4080685,3738212,5129283,
giveawayoftheday.com,742316,711232,697957,858269,835392,793855,817826,812832,780395,757610,801427,883365,815339,773487,58906,39295,672683,768221,798046,776332,769499,806672,619171,
